0.47,-0.133,0,T,0,0,C,5,5,5,5,5
0.636,-1.687,0,T,0,0,E,5,5,5,5,5
0.6,-1.821,0,T,0,0,A,5,5,5,5,5
0.481,-2.15,0,T,0,0,E,5,5,5,5,5
0.117,-1.899,0,T,0,0,E,5,5,5,5,5
0.789,-0.642,0,T,0,0,E,5,5,5,5,5
0.311,-1.317,0,T,0,0,D,5,5,5,5,5
0.333,-1.21,0,T,0,0,D,5,5,5,5,5
0.428,-1.938,0,T,0,0,B,5,5,5,5,5
0.535,-0.424,0,T,0,0,C,5,5,5,5,5
0.758,-1.096,0,T,0,0,B,5,5,5,5,5
0.12,-1.904,0,T,0,0,E,5,5,5,5,5
0.156,-0.636,0,T,0,0,C,5,5,5,5,5
0.587,-2.363,0,T,0,0,D,5,5,5,5,5
0.506,-1.934,0,T,0,0,C,5,5,5,5,5
0.478,-0.938,0,T,0,0,E,5,5,5,5,5
0.18,-1.846,0,T,0,0,C,5,5,5,5,5
0.138,-0.244,0,T,0,0,C,5,5,5,5,5
0.269,-0.782,0,T,0,0,C,5,5,5,5,5
0.548,-1.372,0,T,0,0,D,5,5,5,5,5
0.786,2.146,0,T,0,0,E,5,5,5,5,5
0.785,2.079,0,T,0,0,E,5,5,5,5,5
0.613,2.353,0,T,0,0,B,5,5,5,5,5
0.109,1.823,0,T,0,0,E,5,5,5,5,5
0.609,0.601,0,T,0,0,B,5,5,5,5,5
0.623,1.758,0,T,0,0,B,5,5,5,5,5
0.349,1.912,0,T,0,0,A,5,5,5,5,5
0.608,1.758,0,T,0,0,B,5,5,5,5,5
0.593,0.279,0,T,0,0,C,5,5,5,5,5
0.53,1.184,0,T,0,0,D,5,5,5,5,5
0.375,0.502,0,T,0,0,C,5,5,5,5,5
0.497,0.394,0,T,0,0,E,5,5,5,5,5
0.317,2.351,0,T,0,0,E,5,5,5,5,5
0.599,2.432,0,T,0,0,A,5,5,5,5,5
0.542,2.417,0,T,0,0,A,5,5,5,5,5
0.458,0.557,0,T,0,0,E,5,5,5,5,5
0.653,2.059,0,T,0,0,A,5,5,5,5,5
0.141,2.273,0,T,0,0,A,5,5,5,5,5
0.115,1.159,0,T,0,0,A,5,5,5,5,5
0.354,1.423,0,T,0,0,A,5,5,5,5,5
1.094,-1.64,0,T,0,0,A,5,5,5,5,5
0.91,-0.601,0,T,0,0,D,5,5,5,5,5
0.886,-2.078,0,T,0,0,E,5,5,5,5,5
1.08,-1.816,0,T,0,0,B,5,5,5,5,5
1.19,-2.357,0,T,0,0,B,5,5,5,5,5
0.921,-0.33,0,T,0,0,D,5,5,5,5,5
1.354,-0.659,0,T,0,0,C,5,5,5,5,5
1.202,-2.035,0,T,0,0,A,5,5,5,5,5
1.057,-0.032,0,T,0,0,B,5,5,5,5,5
1.326,-1.032,0,T,0,0,D,5,5,5,5,5
1.001,-0.906,0,T,0,0,C,5,5,5,5,5
1.253,-1.541,0,T,0,0,C,5,5,5,5,5
1.46,-1.461,0,T,0,0,E,5,5,5,5,5
1.171,-0.415,0,T,0,0,B,5,5,5,5,5
1.437,-2.127,0,T,0,0,D,5,5,5,5,5
0.831,-2.245,0,T,0,0,C,5,5,5,5,5
0.968,-0.77,0,T,0,0,E,5,5,5,5,5
1.353,-2.173,0,T,0,0,A,5,5,5,5,5
1.336,-1.428,0,T,0,0,E,5,5,5,5,5
1.274,-1.723,0,T,0,0,A,5,5,5,5,5
1.307,0.428,0,T,0,0,C,5,5,5,5,5
0.855,2.077,0,T,0,0,D,5,5,5,5,5
1.175,0.932,0,T,0,0,B,5,5,5,5,5
1.214,0.587,0,T,0,0,D,5,5,5,5,5
1.034,2.406,0,T,0,0,D,5,5,5,5,5
1.202,0.501,0,T,0,0,D,5,5,5,5,5
1.393,0.682,0,T,0,0,A,5,5,5,5,5
1.257,2.188,0,T,0,0,D,5,5,5,5,5
1.032,1.595,0,T,0,0,E,5,5,5,5,5
1.318,0.947,0,T,0,0,B,5,5,5,5,5
1.167,2.47,0,T,0,0,B,5,5,5,5,5
1.371,0.709,0,T,0,0,A,5,5,5,5,5
1.136,1.373,0,T,0,0,A,5,5,5,5,5
0.955,1.436,0,T,0,0,C,5,5,5,5,5
1.047,0.907,0,T,0,0,D,5,5,5,5,5
1.496,1.761,0,T,0,0,D,5,5,5,5,5
1.435,0.673,0,T,0,0,E,5,5,5,5,5
1.141,1.184,0,T,0,0,C,5,5,5,5,5
1.334,1.551,0,T,0,0,E,5,5,5,5,5
1.301,2.336,0,T,0,0,A,5,5,5,5,5
